Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Bibhā,HD 86081,https://en.wikipedia.org/wiki/HD_86081,Sextans,09h 56m 05.91853s,−03° 48′ 30.3233″,8.73,G1V,,,,,RA: −67.001±0.079 mas/yr Dec.: 15.999±0.076 mas/yr,9.5928 ± 0.0509 mas,340 ± 2 ly (104.2 ± 0.6 pc),3.86,1.21±0.28 M☉,1.46±0.14 R☉,2.941 L☉,4.25 cgs,"5,973 K",+0.22 dex,3.61±0.86 Gyr,data,,0.664±0.026,,+30.88±0.27 km/s,5.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biham,θ Pegasi,https://en.wikipedia.org/wiki/Biham_(star),Pegasus,22h 10m 11.98528s,+06° 11′ 52.3078″,+3.52,A2V + M4-5.5,,,,,RA: +282.18 mas/yr Dec.: +30.46 mas/yr,35.34 ± 0.85 mas,92 ± 2 ly (28.3 ± 0.7 pc),1.24,0.280+0.18−0.059 M☉,2.6225±0.0829 R☉,23.7012±1.1418 L☉,5.5 cgs,3200 K,−0.38 dex,448 Myr,data,,0.086±0.002,,−7.9±2.4 km/s,136 km/s,,,6.55+3.0−0.48 au,0.54+0.28−0.15,66.7+8.5−14°,,,,,,,,,main sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosona,HD 206610,https://en.wikipedia.org/wiki/HD_206610,Aquarius,21h 43m 24.90011s,−07° 24′ 29.7103″,6.2491,K0III,,,,,RA: 2.184±0.027 mas/yr Dec.: 1.781±0.024 mas/yr,6.7637 ± 0.0270 mas,482 ± 2 ly (147.8 ± 0.6 pc),1.99,1.55 M☉,6.12 R☉,1.21±0.20 L☉,2.99 cgs,"4,842±25 K",0.16 dex,3.08±1.17 years,data,,,,−18.62±0.12 km/s,1.77±0.40 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botein,δ Arietis,https://en.wikipedia.org/wiki/Botein,Aries,03h 11m 37.76465s,+19° 43′ 36.0397″,4.349,K2 III,,,,,RA: +153.33 mas/yr Dec.: –8.28 mas/yr,19.22 ± 0.19 mas,170 ± 2 ly (52.0 ± 0.5 pc),+0.77,1.91 M☉,10.42 ± 0.97 R☉,45 ± 6 L☉,2.93 cgs,"4,810 K",–0.03 dex,,data,+0.914,+1.035,Suspected,23.05 ± 0.20 km/s,4.3 km/s,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachium,σ Librae A,https://en.wikipedia.org/wiki/Brachium_(star),Libra,15h 04m 04.21608s,–25° 16′ 55.0606″,3.20 - 3.46,M2.5III,,,,,RA: –71.16 mas/yr Dec.: −43.34 mas/yr,11.31 ± 0.25 mas,288 ± 6 ly (88 ± 2 pc),–1.5,2.2 M☉,108 R☉,"1,820 L☉",0.9 ± 0.3 cgs,"3,596 K",0.00 dex,,data,+1.94,+1.70,SRb,–4.2 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubup,HD 38283,https://en.wikipedia.org/wiki/HD_38283,Mensa,05h 37m 02.0168s,−73° 41′ 57.645″,6.70,F9.5 V,,,,,RA: 138.785 mas/yr Dec.: −108.526 mas/yr,26.2443 ± 0.0250 mas,124.3 ± 0.1 ly (38.10 ± 0.04 pc),3.82,1.37 ± 0.07 M☉,1.49 ± 0.0 R☉,2.35 L☉,4.23 ± 0.02 cgs,"5,981 ± 12 K",−0.18 dex,7.43 Gyr,data,,0.540,,61.4 ± 0.2 km/s,3.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buna,HD 16175,https://en.wikipedia.org/wiki/HD_16175,Andromeda,02h 37m 01.91118s,+42° 03′ 45.4685″,7.28,F8 IV,,,,,RA: −38.864 mas/yr Dec.: −41.234 mas/yr,16.6670 ± 0.0279 mas,195.7 ± 0.3 ly (60.0 ± 0.1 pc),3.40,1.34 ± 0.01 M☉,1.66 ± 0.04 R☉,3.3 ± 0.01 L☉,4.12 ± 0.03 cgs,6048 ± 35 K,,3.2 ± 0.2 Gyr,data,,0.64,,21.83±0.14 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunda,ξ Aquarii A,https://en.wikipedia.org/wiki/Bunda_(star),Aquarius,21h 37m 45.10931s,–07° 51′ 15.1299″,4.682,A7 V,,,,,RA: +114.20 mas/yr Dec.: –25.03 mas/yr,18.26 ± 0.24 mas,179 ± 2 ly (54.8 ± 0.7 pc),1.9,0.9 ± 0.6 M☉,,,3.76 cgs,"7,691 K",–0.03 dex,,data,+0.187,+0.181,,–26.2 km/s,170 km/s,,"8,016 days",,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canopus,α Carinae A,https://en.wikipedia.org/wiki/Canopus,Carina,06h 23m 57.10988s,−52° 41′ 44.3810″,−0.74,A9 II,,,,,RA: 19.93 mas/yr Dec.: 23.24 mas/yr,10.55 ± 0.56 mas,310 ± 20 ly (95 ± 5 pc),–5.71,8.0±0.3 (2013)10.1±0.1 (2011) M☉,71±4 (2013)73.3±5.2 (2021) R☉,"10,700 L☉",1.70±0.05 cgs,"7,400 K",–0.07 dex,25.1±2.5 Myr,data,+0.10,+0.15,,20.3±0.5 km/s,9 km/s,/kəˈnoʊpəs/,,,,,,,,,,,,,,,,,,,,,≥298 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella,α Aurigae Aa,https://en.wikipedia.org/wiki/Capella,Auriga,05h 17m 23.943s,+45° 50′ 19.84″,13.7,M4:,,,,,RA: 54.1 mas/yr Dec.: −417.5 mas/yr,75.1838 ± 0.0534 mas,43.38 ± 0.03 ly (13.301 ± 0.009 pc),13.1,0.53 M☉,0.54±0.03 R☉,,4.75±0.05 cgs,"3,700±150 K",+0.1 dex,590–650 Myr,Capella,1.24,1.50,RS CVn (suspected),31.63±0.14 km/s,35.0±0.5 km/s,/kəˈpɛlə/,300 yr,"3.5""(40 AU)",0.75,52°,288°,"2,220",88°,L,H,25.9611±0.0044 km/s,0.91,,Main sequence (red dwarf),0.05 L☉,,−0.3,,,,,8.5±0.2 days,,,,,342.6±9.0 JD°,26.860±0.0017 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Caph,β Cassiopeiae A,https://en.wikipedia.org/wiki/Caph,Cassiopeia,00h 09m 10.68518s,+59° 08′ 59.2120″,+2.28 (2.25–2.31),F2 III,,,,,RA: +523.50 mas/yr Dec.: −179.77 mas/yr,59.58 ± 0.38 mas,54.7 ± 0.3 ly (16.8 ± 0.1 pc),+1.3,1.91 ± 0.02 M☉,3.43–3.69 R☉,27.3 L☉,3.40 cgs,"7,079 K",0.03 dex,1.09–1.18 Gyr,data,0.11,0.34,δ Sct,11.3 km/s,71.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castor,α Geminorum Aa,https://en.wikipedia.org/wiki/Castor_(star),Gemini,07h 34m 37.584s,+31° 53′ 17.8160″,9.83,dM1e + dM1e,,,,,RA: –201.490 mas/yr Dec.: –97.104 mas/yr,66.2323 ± 0.0511 mas,49.24 ± 0.04 ly (15.10 ± 0.01 pc),+8.950,0.5992 M☉,0.6191 R☉,0.0733 L☉,4.6317 cgs,"3,820 K",~0.0 dex,370 Myr,data,+1.04,+1.49,BY Dra,+2.5 km/s,37 km/s,/ˈkæstər/,0.814 days,6.722″,0,86.29 ± 0.10°,7.315°,2427501.703,251.84°,α Geminorum Cb,α Geminorum Ca,121.0 km/s,,,,,,,,,,,,,,,,94.7°,119.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Castula,υ2 Cassiopeiae,https://en.wikipedia.org/wiki/Castula,Cassiopeia,00h 56m 39.90413s,+59° 10′ 51.8006″,+4.62,G8 IIIb Fe−0.5,,,,,RA: −92.085 mas/yr Dec.: −45.079 mas/yr,17.2875 ± 0.1880 mas,189 ± 2 ly (57.8 ± 0.6 pc),+0.62,1.44±0.16 M☉,10.44+0.24−0.50 R☉,55.3±0.7 L☉,2.75±0.19 cgs,"4,937±14 K",−0.35±0.03 dex,2.20±0.62 Gyr,data,+0.68,+0.96,,−47.73±0.12 km/s,0.54±0.38 km/s,,,,,,,,,,,,,,horizontal branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebalrai,β Ophiuchi,https://en.wikipedia.org/wiki/Cebalrai,Ophiuchus,17h 43m 28.35265s,+04° 34′ 02.2955″,2.749 (2.75 to 2.77),K2 III,,,,,RA: 41.45 mas/yr Dec.: +159.34 mas/yr,39.85 ± 0.17 mas,81.8 ± 0.3 ly (25.1 ± 0.1 pc),+0.77 ± 0.04,1.13 M☉,12.42 ± 0.13 R☉,63.4 ± 3.2 L☉,2.22 cgs,"4,467 K",0.04 dex,3.82 ± 1.86 Gyr,data,+1.253,+1.170,"K-type giant,",–12.53 km/s,5.4 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceibo,HD 63454,https://en.wikipedia.org/wiki/HD_63454,Chamaeleon,07h 39m 21.85290s,−78° 16′ 44.3078″,9.36±0.02,K3 V(k),,,,,RA: −19.556 mas/yr Dec.: −39.926 mas/yr,26.5541 ± 0.0114 mas,122.83 ± 0.05 ly (37.66 ± 0.02 pc),+6.68,0.79 M☉,0.80±0.04 R☉,0.287±0.005 L☉,4.52±0.16 cgs,"4,840±66 K",0.00±0.06 dex,1.52 Gyr,data,+0.98,+1.06,,+33.8 km/s,2.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celaeno,16 Tauri,https://en.wikipedia.org/wiki/Celaeno_(star),Taurus,03h 44m 48.2154s,+24° 17′ 22.093″,+5.448,B7IV,,,,,RA: 20.73 mas/yr Dec.: –44.00 mas/yr,7.53 ± 1.23 mas,approx. 430 ly (approx. 130 pc),−0.76,4.0 M☉,4.4 R☉,344 L☉,3.9 cgs,"12,800 K",,,data,–0.33,–0.046,,+2.9 km/s,185 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervantes,μ Arae,https://en.wikipedia.org/wiki/Cervantes_(star),Ara,17h 44m 08.70314s,−51° 50′ 02.5916″,5.15±0.01,G3IV–V,,,,3.68±0.25,RA: −15.034±0.084 mas/yr Dec.: −190.901±0.065 mas/yr,64.0853 ± 0.0904 mas,50.89 ± 0.07 ly (15.60 ± 0.02 pc),+4.17,1.10±0.01 M☉,1.36±0.01 R☉,1.90±0.10 L☉,4.2±0.1 cgs,"5,820±40 K",0.30±0.01 dex,6.34±0.40 Gyr,data,+0.24,+0.70,,−9.54±0.13 km/s,3.1±0.5 km/s,,,,,,,,,,,,0.2,200±5%,,,data,,,,,,31 days,data,data,,,,,,,,4.943±0.003,,,,,,,,,,,,,,,,,,,,
Chalawan,47 Ursae Majoris,https://en.wikipedia.org/wiki/Chalawan_(star),Ursa Major,10h 59m 27.9728s,+40° 25′ 48.921″,+5.03,G1V,,,,,RA: −316.850(97) mas/yr Dec.: 55.180(118) mas/yr,72.0070 ± 0.0974 mas,45.30 ± 0.06 ly (13.89 ± 0.02 pc),4.41,1.08 M☉,1.172 ± 0.111 R☉,1.48 L☉,4.377 cgs,"5,887 ± 3.8 K",,6.03 Gyr,The star,0.13,0.61,,11.24(12) km/s,2.80 km/s,,,,,,,,,,,,,110% solar,,,data,,,,,,,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamukuy,θ2 Tauri Aa,https://en.wikipedia.org/wiki/Chamukuy,Taurus,04h 28m 39.74070s,+15° 52′ 15.1745″,+3.35 - 3.42,A7 III,,,,,,20.8354 ± 0.3731 mas,157 ± 3 ly (48.0 ± 0.9 pc),+0.30/+1.44,2.67 M☉,10.55 R☉,71 L☉,3.21 cgs,"5,080 K",+0.14 dex,510 Myr,θ1 Tauri,,,δ Scuti,,1.40 km/s,,140.7302 days,18.91″,0.7360,47.8°,,,,Ab,Aa,32.95 km/s,,,,,,,,,,,,,,,,,43.68 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Chaophraya,WASP-50,https://en.wikipedia.org/wiki/WASP-50,Eridanus,02h 54m 45.1343s,−10° 53′ 53.0260″,11.44,G9V,,,,,RA: 3.281 mas/yr Dec.: 8.963 mas/yr,5.3816 ± 0.0540 mas,606 ± 6 ly (186 ± 2 pc),,0.892+0.08−0.074 M☉,0.843±0.031 R☉,,4.5±0.1 cgs,5400±100 K,,8.57±2.86 Gyr,data,,,,25.24 km/s,2.6±0.5 km/s,,,,,,,,,,,,,−0.12±0.08,,,,,,,,,16.30 ± 0.50 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chara,β Canum Venaticorum Aa,https://en.wikipedia.org/wiki/Chara_(star),Canes Venatici,12h 33m 44.54425s,+41° 21′ 26.9214″,4.25,G0 V,,,,,RA: −704.702 mas/yr Dec.: +292.155 mas/yr,118.0266 ± 0.1530 mas,27.63 ± 0.04 ly (8.47 ± 0.01 pc),4.64,0.97±0.04 M☉,1.123±0.028 R☉,1.151±0.018 L☉,4.60 cgs,6043±183 K,−0.18 dex,3.4 to 7.1 Gyr,data,0.04,0.58,,+6.9 km/s,2.9±0.4 km/s,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasoň,HAT-P-5,https://en.wikipedia.org/wiki/HAT-P-5,Lyra,18h 17m 37.3127s,+36° 37′ 17.170″,+11.95,G1V,,,,,RA: 11.925(11) mas/yr Dec.: 5.904(14) mas/yr,3.2184 ± 0.0105 mas,"1,013 ± 3 ly (311 ± 1 pc)",,1.16 ± 0.062 M☉,1.167 ± 0.049 R☉,,4.37 ± 0.03 cgs,5863 ± 80 K,0.10 ± 0.10 dex,2.6 ± 1.8 Gyr,data,,,planetary transit,,2.8 ± 1.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chechia,HD 192699,https://en.wikipedia.org/wiki/HD_192699,Aquila,20h 16m 06.00415s,+04° 34′ 50.8613″,6.44,G8 IV,,,,,RA: −41.239 mas/yr Dec.: −52.035 mas/yr,13.8868 ± 0.0513 mas,234.9 ± 0.9 ly (72.0 ± 0.3 pc),2.36,1.26±0.19 M☉,4.41±0.21 R☉,12.26 L☉,3.25 cgs,"5,041 K",−0.12 dex,3.2+1.2−0.7 Gyr,data,,0.867±0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chertan,θ Leonis,https://en.wikipedia.org/wiki/Chertan,Leo,11h 14m 14.40446s,+15° 25′ 46.4541″,+3.324,A2 V,,,,,RA: -60.31 mas/yr Dec.: -79.10 mas/yr,19.76 ± 0.17 mas,165 ± 1 ly (50.6 ± 0.4 pc),−0.19,2.5 M☉,,141 L☉,3.65 cgs,"9,350 K",+0.05 dex,550 Myr,data,+0.07,–0.02,,+7.6 km/s,23 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citalá,HD 52265,https://en.wikipedia.org/wiki/HD_52265,Monoceros,07h 00m 18.0357s,−05° 22′ 01.7785″,6.301,G0V,,,,,RA: −116.524 ± 0.071 mas/yr Dec.: 80.467 ± 0.073 mas/yr,33.3264 ± 0.0467 mas,97.9 ± 0.1 ly (30.01 ± 0.04 pc),,1.21 ± 0.02 M☉,1.27 ± 0.03 R☉,2.08 ± 0.01 L☉,4.31 ± 0.03 cgs,6163 ± 41 K,,2.6 ± 0.6 Gyr,data,,,,,3.6+0.3−1.0 km/s,,,,,,,,,,,,,,,,,,,,,,12.3±0.15 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocibolca,HD 4208,https://en.wikipedia.org/wiki/HD_4208,Sculptor,00h 44m 26.6507s,–26° 30′ 56.4582″,7.78,G7V Fe-1 CH-0.5,,,,,RA: 313.484±0.064 mas/yr Dec.: 149.500±0.047 mas/yr,29.2163 ± 0.0577 mas,111.6 ± 0.2 ly (34.23 ± 0.07 pc),5.23,0.883±0.024 M☉,0.846±0.028 R☉,0.71±0.004 L☉,4.501±0.036 cgs,"5,717±33 K",−0.28±0.02 dex,6.6±2.1 gyr3.813±2.970 Gyr,data,,0.664±0.004,,+56.77±0.09 km/s,4.4 km/s,,,,,,,,,,,,,,,,,,,,,,,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernicus,55 Cancri A,https://en.wikipedia.org/wiki/Copernicus_(star),Cancer,08h 52m 40.8627s,+28° 19′ 58.821″,13.15,M4.5V,,,,,RA: −481.176±0.041 mas/yr Dec.: −244.544±0.032 mas/yr,79.6560 ± 0.0475 mas,40.95 ± 0.02 ly (12.554 ± 0.007 pc),+12.58±0.088,0.264±0.007 M☉,0.268±0.009 R☉,0.00788±0.00013 L☉,4.45±0.01 cgs,"3,320±51 K",0.15±0.16 dex,8.6±1 Gyr,data,0.63,1.7,,27.51 km/s,2.36 km/s,/ˈkæŋkraɪ/ or /ˈkæŋkriː/,,,,,,,,,,,,,Main sequence (red dwarf),,data,,,,,,6.11+3.2−1.9 days,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cor Caroli,α2 Canum Venaticorum Aa,https://en.wikipedia.org/wiki/Cor_Caroli,Canes Venatici,12h 56m 00.43258s,+38° 18′ 53.3768″,5.60,F2V,,,,,RA: −232.86 mas/yr Dec.: 55.69 mas/yr,30.6121 ± 0.0666 mas,106.5 ± 0.2 ly (32.67 ± 0.07 pc),0.16±0.08,1.47±0.15 M☉,1.5 R☉,101±12 L☉,4.25±0.22 cgs,"7,080 K",,165+60−70 Myr,α2 CVn,−0.03,+0.34,α2 CVn,−0.60 ± 0.9 km/s,18 km/s,,,,,,,,,,,,,,,,,,,,,,5.46939 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cujam,ω Herculis A,https://en.wikipedia.org/wiki/Cujam,Hercules,16h 25m 24.95425s,+14° 01′ 59.7711″,4.5821 (4.58 + 11.5),A2 Vp CrSr,,,,,RA: +40.86 mas/yr Dec.: −59.71 mas/yr,13.04 ± 0.64 mas,250 ± 10 ly (77 ± 4 pc),0.29±0.15,2.14 M☉,3.30 R☉,70 L☉,3.51±0.35 cgs,"10,052±320 K",+0.47±0.15 dex,149 Myr,data,+0.01,+0.00,α2 CVn,−5.90±0.74 km/s,55 km/s,,,,,,,,,,,,,,,,,,,,,,2.951 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursa,β Eridani,https://en.wikipedia.org/wiki/Cursa,Eridanus,05h 07m 50.98549s,−05° 05′ 11.2055″,2.796,A3 III var,,,,,RA: -82.82 mas/yr Dec.: -75.39 mas/yr,36.2456 ± 0.3575 mas,90.0 ± 0.9 ly (27.6 ± 0.3 pc),+0.59,2.0 M☉,2.4 R☉,25 L☉,3.58 cgs,"8,360, 8,104 K",–0.4 dex,,data,+0.124,+0.110,,–3.6 km/s,196 km/s,,,,,,,,,,,,+0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabih,β1 Capricorni Aa,https://en.wikipedia.org/wiki/Dabih,Capricornus,20h21m00.7s,−14°46′53″,+3.05/+6.09,K0II+B8V/A0III,,,,,RA: 48.42/42.64 mas/yr Dec.: 14.00/0.37 mas/yr,8.3966 ± 0.6348 mas,390 ± 30 ly (119 ± 9 pc),−2.03/+1.03,,,,,,,,β Cap,0.28/−0.11,0.79/−0.02,none,−19/−18 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalim,α Fornacis A,https://en.wikipedia.org/wiki/Dalim_(star),Fornax,3h 12m 04.5277s,–28° 59′ 15.425″,3.85 (3.98/7.19),F8IV,,,,,RA: 371.49 mas/yr Dec.: 612.28 mas/yr,71.4337 ± 0.1320 mas,45.66 ± 0.08 ly (14.00 ± 0.03 pc),3.08,1.33 ± 0.01 M☉,2.04 ± 0.06 R☉,4.87 ± 0.16 L☉,4.27 cgs,"6,240 K",–0.20 dex,2.9 Gyr,data,+0.082,+0.581,,–20.5 km/s,3.9 km/s,,269 yr,4.0″,0.73,81°,117°,1947,43°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danfeng
","L 168-9
",https://en.wikipedia.org/wiki/Danfeng_(star),Tucana,23h 20m 07.52452s,−60° 03′ 54.6447″,11.02±0.06,M1V,,7.941±0.019,7.320±0.053,7.082±0.031,RA: −319.924 mas/yr Dec.: −127.782 mas/yr,39.7113 ± 0.0244 mas,82.13 ± 0.05 ly (25.18 ± 0.02 pc),,0.62±0.03 M☉,0.600±0.022 R☉,,4.04±0.49 cgs,3800±70 K,0.04±0.17 dex,,data,,,,29.44±0.21 km/s,,,,,,,,,,,,,,,Main sequence,0.0673±0.0024 L☉,,,,,,,29.8±1.3 d,,,,,,,,12.45±0.19,,10.237±0.003,,,,,,,,,,,,,,,,,,,,
Deneb,α Cygni,https://en.wikipedia.org/wiki/Deneb,Cygnus,20h 41m 25.9s,+45° 16′ 49″,1.25 (1.21–1.29),A2 Ia,,,,,RA: 1.99 mas/yr Dec.: 1.95 mas/yr,2.29 ± 0.32 mas,"2,615±215 ly (802±66 pc)",−8.38,19±4 M☉,203±17 R☉,"196,000±32,000 L☉",1.10±0.05 cgs,"8,525±75 K",−0.25 dex,,data,−0.23,+0.09,Alpha Cygni,−4.5 km/s,20±2 km/s,"/ˈdɛnɛb/, /ˈdɛnəb/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deneb Algedi,δ Capricorni Aa,https://en.wikipedia.org/wiki/Deneb_Algedi,Capricornus,21h 47m 02.44424s,−16° 07′ 38.2335″,2.81 (2.81 (- 2.90) - 3.05),A7m III (kA5hF0mF2III),,,,,RA: +261.70 mas/yr Dec.: −296.70 mas/yr,84.27 ± 0.19 mas,38.70 ± 0.09 ly (11.87 ± 0.03 pc),+2.48,0.73 M☉,0.9 R☉,8.5 L☉,3.66 cgs,"4,500 K",–0.13 dex,,data,+0.07,+0.31,Eclipsing binary (Algol-type),−6.3 km/s,105 km/s,,1.0227683 days,,0 (assumed),72.5°,,"2,448,105.793 ± 0.003 HJD",,δ Cap Ab,δ Cap Aa,75.3 ± 1.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denebola,β Leonis,https://en.wikipedia.org/wiki/Denebola,Leo,11h 49m 03.57834s,+14° 34′ 19.4090″,2.14,A3Va,,,,,RA: −497.68 mas/yr Dec.: −114.67 mas/yr,90.91 ± 0.52 mas,35.9 ± 0.2 ly (11.00 ± 0.06 pc),+1.93,1.78 M☉,1.728 R☉,15 L☉,4.0 cgs,"8,500 K",+0.00 dex,100–380 Myr,data,+0.07,+0.09,δ Sct,−0.2 km/s,128 km/s,"/dəˈnɛbələ/,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diadem,α Comae Berenices A,https://en.wikipedia.org/wiki/Diadem_(star),Coma Berenices,13h 09m 59.285s,+17° 31′ 46.04″,4.29 to 4.35(combined)A: 4.85 / B: 5.53,A: F5V / B: F5V(binary star),,,,,RA: −433.13±0.70 mas/yr Dec.: 141.24±0.51 mas/yr,56.10 ± 0.89 mas,58.1 ± 0.9 ly (17.8 ± 0.3 pc),3.82,1.087 M☉,,1.75 L☉,4.19 cgs,"6,378 K",−0.23 dex,,data,−0.06,0.45,,−17.7±0.9 km/s,,,25.8696±0.008219 yr,0.67144±0.00033″,0.51060±0.00061,90.0501±0.0062°,12.2272±0.0098°,57056.84±0.36,100.563±0.026°,,,,0.2,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dilmun
","WASP-121
",https://en.wikipedia.org/wiki/Dilmun_(star),Puppis,07h 10m 24.06046s,−39° 05′ 50.5712″,10.51,F6V,,9.625,9.439,9.374,RA: −3.735 mas/yr Dec.: 25.663 mas/yr,3.7996 ± 0.0104 mas,858 ± 2 ly (263.2 ± 0.7 pc),,1.353 M☉,1.458 R☉,,,"6,460.0 K",0.13 dex,,data,,,,38.25±0.22 km/s,11.90±0.31 km/s,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,
Diphda,β Ceti,https://en.wikipedia.org/wiki/Diphda,Cetus,00h 43m 35.37090s,−17° 59′ 11.7827″,2.02,K0 III,,,,,RA: +232.55 mas/yr Dec.: +31.99 mas/yr,33.86 ± 0.16 mas,96.3 ± 0.5 ly (29.5 ± 0.1 pc),−0.13,2.8 M☉,16.78±0.25 R☉,139.1±7.0 L☉,2.7 cgs,"4,797 K",−0.09 dex,> 1 Gyr,data,+0.88,+1.01,Suspected,+12.9 km/s,18 km/s,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dìwö,WASP-17,https://en.wikipedia.org/wiki/WASP-17,Scorpius,15h 59m 50.9473s,−28° 03′ 42.327″,11.500,F6V,,,,,RA: −6.600±1.557 mas/yr Dec.: −8.485±0.774 mas/yr,2.4366 ± 0.0518 mas,"1,340 ± 30 ly (410 ± 9 pc)",,1.2 M☉,1.38 R☉,,4.14 ± 0.03 cgs,6509 ± 86 K,–0.02 ± 0.09 dex,3 Gyr,data,,,,,10.6 ± 1.3 km/s,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diya,WASP-72,https://en.wikipedia.org/wiki/WASP-72,Fornax,02h 44m 09.6098s,−30° 10′ 08.5614″,10.96,F7,10.47,,,,RA: 7.447 mas/yr Dec.: -7.817 mas/yr,2.2718 ± 0.0440 mas,"1,440 ± 30 ly (440 ± 9 pc)",,0.66±0.02 M☉,1.98 R☉,,,4234+80−81 K,,3.55±0.82 Gyr,1019 data,,,,37.36 km/s,6.0±2.1 km/s,,,"0.639±0.003""(281 AU)",,,,,,WASP-72B,WASP-72,,,,main-sequence star,,,,,,,,,,,,,,,,11.54,,10.8378,,,,,,,,,,,,,,,,,,,,
